 x, y, z
-12232, -4192, 07224
-12096, -4304, 07448
-12280, -4112, 07296
-12096, -4184, 07360
-12304, -4016, 06912
-12216, -4144, 07472
-12312, -4408, 07344
-12336, -4304, 07272
-12128, -4320, 07272
-12336, -4240, 07240
-12200, -4248, 07064
-12128, -4200, 07408
-12416, -4168, 07368
-12192, -4312, 07416
-12168, -4304, 07272
-12152, -4128, 07336
-12216, -4208, 06896
-12024, -4208, 07736
-12256, -4216, 07384
-12248, -4344, 07200
-12184, -4104, 07296
-12360, -4312, 07376
-12256, -4192, 07472
-12160, -4176, 07384
-12216, -4280, 07368
-12184, -4208, 07280
-12096, -4112, 07576
-12352, -4216, 07552
-12184, -4088, 07256
-12144, -4152, 07272
-12136, -4248, 07176
-12312, -4264, 07296
-12104, -4360, 07536
-12200, -4160, 07224
-12144, -4072, 07144
-12056, -4344, 07232
-12176, -4192, 07688
-12104, -4320, 07504
-12176, -4176, 07360
-12216, -4256, 07400
-12392, -4224, 07176
-12248, -4136, 07072
-12176, -4200, 07576
-12352, -4208, 07424
-12392, -4360, 07344
-12048, -4088, 07408
-12376, -4128, 07432
-12232, -3960, 07048
-12144, -4200, 07336
-12232, -4168, 07560
-12248, -4240, 07248
-12120, -4160, 07408
-12200, -4288, 07448
-12232, -4192, 07232
-12208, -4184, 07352
-12336, -4104, 07416
-12304, -4136, 07352
-12184, -4168, 07360
-12248, -4184, 07520
-12168, -4288, 06992
-12408, -4144, 07200
-12208, -4320, 07128
-12392, -4392, 07280
-12288, -4248, 07288
-12184, -4184, 07264
-12192, -4208, 07248
-12200, -4208, 07256
-12128, -4248, 07232
-12216, -4456, 07176
-12256, -4224, 07496
-12552, -4176, 07784
-12480, -4392, 07072
-12024, -4296, 07136
-12176, -4304, 07096
-12360, -4280, 07320
-12152, -4288, 07232
-12216, -4384, 07432
-12224, -4248, 07280
-12440, -4080, 07272
-12160, -4288, 07328
-12296, -4168, 07184
-12264, -4304, 07176
-12152, -4072, 07328
-12200, -4208, 07392
-12432, -4352, 07368
-12136, -4200, 07568
-12128, -4040, 07040
-12192, -4136, 07168
-12200, -4240, 07336
-12216, -4184, 07360
-12208, -4352, 07504
