13,00302,06,-0010,-0034
-14142,00382,05535,-0019,00036,-0019
-14161,00371,05547,-0018,00036,-0020
-14184,00359,05556,-0015,00038,-0022
-14197,00352,05555,-0019,00038,-0023
-14209,00343,05563,-0021,00034,-0024
-14210,00335,05559,-0020,00034,-0028
-14215,00332,05557,-0018,00036,-0027
-14217,00326,05554,-0015,00034,-0028
-14214,00321,05550,-0021,00032,-0029
-14210,00324,05554,-0020,00030,-0029
-14194,00329,05559,-0017,00026,-0027
-14183,00328,05562,-0019,00024,-0027
-14170,00332,05554,-0016,00018,-0029
-14159,00340,05552,-0016,00014,-0029
-14154,00348,05543,-0014,00012,-0027
-14148,00362,05544,-0012,00012,-0029
-14146,00372,05540,-0011,00012,-0029
-14147,00381,05534,-0010,00012,-0028
-14154,00385,05530,-0007,00014,-0026
-14162,00395,05541,-0007,00016,-0023
-14168,00402,05541,-0007,00018,-0025
-14178,00412,05540,-0007,00024,-0023
-14189,00412,05538,-0006,00024,-0021
-14199,00417,05543,-0009,00026,-0023
-14209,00420,05547,-0009,00020,-0021
-14217,00418,05549,-0011,00018,-0022
-14219,00416,05554,-0012,00016,-0021
-14223,00413,05563,-0016,00016,-0021
-14217,00406,05572,-0017,00020,-0023
-14213,00400,05569,-0022,00022,-0023
-14204,00390,05561,-0021,00024,-0021
-14192,00375,05571,-0024,00022,-0023
-14186,00369,05578,-0027,00028,-0024
-14178,00364,05577,-0029,00026,-0024
-14167,00359,05569,-0027,00018,-0025
-14166,00352,05551,-0025,00000,-0026
-14165,00355,05542,-0024,-0018,-0028
-14161,00354,05560,-0023,-0016,-0028
-14158,00351,05560,-0016,-0010,-0030
-14165,00351,05537,-0008,-0014,-0033
-14170,00350,05522,-0011,-0020,-0033
-14171,00344,05528,-0013,-0014,-0032
-14172,00339,05532,-0008,-0004,-0027
-14173,00340,05532,-0008,-0002,-0029
-14174,00340,05536,-0008,-0006,-0027
-14170,00343,05539,-0006,-0010,-0025
-14166,00347,05557,-0007,-0010,-0026
-14157,00356,05571,-0005,-0006,-0026
-14146,00359,05585,-0003,00000,-0024
-14141,00365,05598,-0002,00008,-0022
-14138,00362,05601,-0004,00014,-0022
-14130,00368,05602,-0006,00012,-0019
-14131,00378,05593,-0006,00012,-0021
-14130,00391,05568,-0008,00006,-0019
-14132,00403,05554,-0010,-0002,-0018
-14128,00409,05549,-0007,-0002,-0015
