 x, y, z
01304, 02128, 15760
01152, 02160, 16032
01192, 02104, 15976
01200, 02048, 16024
01320, 02144, 16096
01224, 02024, 15920
01320, 02112, 15904
01368, 01992, 15888
01304, 02120, 15928
01224, 02056, 15664
01128, 02032, 16056
01112, 02144, 16016
01192, 02088, 15872
01176, 02168, 15936
01216, 02096, 15872
01112, 02144, 16000
01168, 02128, 15896
01312, 02128, 15712
01176, 02152, 16000
01184, 02096, 15888
01224, 02080, 15848
01312, 02152, 15872
01104, 02176, 15896
01232, 02048, 15960
01288, 02160, 15912
01160, 02112, 15936
01160, 02056, 15936
01048, 02240, 15928
01272, 02104, 15792
01112, 02112, 15976
01184, 02192, 15912
01240, 02080, 15880
01232, 02040, 16008
01192, 02112, 15888
01016, 02184, 15928
01224, 02152, 15896
01192, 02120, 15752
01104, 02032, 15752
01224, 02080, 15760
01208, 02144, 15992
01184, 02120, 15976
01136, 02112, 15904
01192, 02200, 15896
01200, 02192, 15880
01256, 02240, 15744
01256, 02112, 15856
01160, 02192, 15880
01152, 02008, 15904
01152, 02152, 15816
01112, 02040, 15872
01368, 02048, 15888
01176, 02000, 15824
01168, 02032, 15896
01144, 02216, 16040
01232, 02248, 15880
01152, 02168, 15672
01208, 02176, 15872
01128, 02096, 15944
01280, 02104, 15984
01200, 02120, 15720
01040, 02056, 16040
01136, 02144, 15784
00976, 02128, 16016
01264, 02176, 16056
01352, 02176, 15792
01168, 02120, 15936
01176, 02192, 15792
01128, 02088, 15712
01104, 02104, 15760
01200, 02176, 15816
01104, 02176, 15912
01104, 02064, 16024
01152, 02096, 15984
01112, 02240, 16000
01216, 02224, 15944
01224, 02056, 15912
01088, 02160, 15832
01200, 02104, 15928
01224, 02232, 15904
01312, 02096, 15840
01240, 02032, 15944
01176, 02160, 15888
01192, 02144, 15976
01288, 01992, 15832
01168, 02144, 15912
01336, 02160, 16040
01176, 02104, 15808
01176, 02040, 15968
01192, 02184, 15896
01152, 02160, 15840
01048, 02184, 15704
01016, 02080, 15968
01168, 02056, 15864
01272, 02232, 16040
01168, 02064, 15760
01200, 02152, 15920
01272, 02184, 16152
01176, 02064, 15864
01320, 02128, 15888
01104, 02320, 15944
01144, 02032, 15832
01144, 02040, 15720
01200, 02184, 15752
01240, 02136, 15920
01192, 01936, 15864
01064, 01960, 15904
00976, 02280, 15920
01200, 02104, 15768
01288, 02160, 15912
01240, 02080, 15872
01264, 02248, 15840
01088, 02144, 15776
01136, 02128, 15872
01240, 02088, 15808
01072, 02200, 15880
01224, 02080, 15992
01192, 02136, 15888
01064, 02320, 15848
01128, 02040, 15968
01288, 02232, 15984
01160, 02056, 15968
01232, 02096, 16008
01168, 02112, 15872
01144, 02112, 15920
01096, 02112, 16112
01160, 02048, 16008
01184, 01976, 15984
01168, 02144, 15736
01264, 02032, 15912
01232, 02216, 15840
01288, 02112, 15920
01280, 02144, 15712
01184, 02232, 15728
01096, 02056, 15784
01128, 02184, 16112
01048, 02192, 15904
01232, 02112, 15848
01200, 02160, 15880
01032, 02192, 15848
01024, 02016, 16016
01160, 02240, 15960
01264, 02160, 16096
01224, 02048, 15888
01272, 02152, 16120
01216, 02056, 15728
01240, 01984, 15856
01104, 02168, 16032
01256, 02152, 16152
01312, 02216, 15880
01128, 02096, 16008
01232, 02016, 15928
01104, 02024, 15944
01296, 02048, 16048
01040, 02112, 15784
01064, 01992, 16040
01192, 02064, 15776
01304, 02112, 15832
01104, 02056, 15920
01280, 02176, 15888
01160, 02224, 15984
01240, 02240, 15896
01240, 02160, 15904
01128, 02312, 16016
01192, 02088, 15840
01280, 02104, 15776
01128, 02064, 15904
01224, 02152, 15976
01128, 02216, 15864
01288, 02112, 15928
01320, 02064, 15944
01168, 02000, 16056
01000, 02160, 15944
01224, 02128, 16000
01200, 02104, 15904
01304, 02104, 15768
01280, 01912, 15720
01080, 02008, 15928
01072, 02048, 15944
01136, 02152, 15784
01152, 02024, 15960
01336, 02248, 16016
01112, 02032, 15808
01280, 02024, 16016
01296, 02064, 15936
01256, 02056, 15848
01216, 02144, 15872
01176, 01984, 15896
01176, 02024, 15840
01208, 02088, 15928
01256, 02088, 15864
01208, 02176, 15736
01160, 02224, 15832
01160, 01992, 16056
01176, 02120, 15960
01296, 02104, 15968
01144, 02112, 15992
01224, 02016, 15912
01208, 02248, 15784
01344, 02160, 15776
01192, 02176, 15904
01200, 02136, 15832
01152, 02128, 15848
01040, 02120, 15848
01136, 02232, 15984
01096, 02160, 15840
01280, 02152, 15736
01328, 02040, 16008
01184, 02096, 15864
01216, 02392, 15960
01200, 02168, 15792
01216, 02248, 15936
01256, 02112, 15912
01104, 02176, 16016
01200, 02152, 16048
01184, 02128, 15912
01184, 02064, 15904
01224, 02152, 15880
01176, 02248, 15936
01264, 02184, 15896
01360, 02024, 15920
01224, 02088, 16040
01168, 02056, 15968
01264, 02216, 15776
01224, 02152, 15760
01136, 02104, 15904
01304, 02112, 15888
01192, 02152, 15912
01272, 01992, 16048
01104, 02152, 15984
01112, 02136, 15976
01232, 02168, 15672
01144, 02096, 15968
01200, 02048, 15920
01232, 01968, 15928
01112, 02040, 15904
01216, 02224, 16056
01240, 02168, 15808
01408, 02232, 15776
01264, 02000, 15880
01056, 02088, 16112
01200, 02000, 15920
01056, 02040, 15864
01264, 01992, 15864
01224, 02096, 16008
01080, 02264, 15976
01128, 02112, 15904
01208, 02272, 16016
01296, 01984, 15992
01272, 02152, 15864
01200, 02272, 15976
01200, 02120, 15808
01184, 02136, 16128
01176, 02088, 15832
01256, 02104, 15880
01048, 02264, 15760
01280, 02024, 15896
01168, 02152, 15752
01304, 02264, 15936
01080, 02120, 15968
01168, 02160, 15856
01072, 02024, 15872
01168, 02152, 15944
01192, 02096, 15864
01192, 01992, 15864
01016, 02120, 15768
01176, 02112, 15872
01296, 02064, 15984
01104, 02152, 15912
01176, 02120, 15912
01256, 02064, 16128
01288, 02160, 15904
01160, 02152, 16024
01344, 02048, 16200
01112, 02032, 15616
01336, 02120, 15776
01312, 02048, 15776
01152, 02096, 15864
01072, 02048, 15688
01176, 02200, 15920
01192, 02176, 15936
01344, 02120, 15936
01256, 02016, 15848
01216, 02176, 15928
01232, 02096, 16032
01216, 02184, 15768
01328, 02176, 15792
01384, 02200, 15744
01256, 02032, 15792
01200, 02040, 15840
01232, 02016, 15704
00576, 02784, 17016
-0760, 04360, 18880
-1776, -0400, 15680
00664, 03184, 16648
-0112, 02032, 15856
00504, 02040, 15712
01576, 03224, 14840
00784, 01424, 16384
00288, 02472, 15248
01288, 00880, 16376
00560, 01864, 16040
01040, 01696, 15864
00824, 03448, 14848
01224, 00000, 16168
01896, 01288, 17328
00888, 02248, 15936
01088, 02008, 15768
01096, 01920, 15760
01056, 01992, 16032
01184, 01840, 16328
01192, 02016, 16240
01192, 01960, 15736
01032, 02064, 15784
01192, 01968, 16088
01128, 01824, 16088
01160, 01992, 15904
01152, 01984, 15816
00984, 02000, 15816
01048, 02136, 16048
01088, 01976, 16064
01016, 02200, 16040
01008, 02064, 15656
01232, 02104, 15872
01168, 01920, 15984
01056, 02024, 15824
01304, 02104, 15704
01272, 01960, 16088
01104, 02016, 15912
01192, 01992, 15808
01064, 02064, 15912
01264, 02104, 16056
01392, 01936, 16312
00928, 02080, 15088
